Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
170),02/01/2023,18:15:00,,,,,6.921,,,,,,,
171),02/01/2023,18:30:00,,,,,7.227,,,,,,,
172),02/01/2023,18:45:00,,,,,7.5,,,,,,,
173),02/01/2023,19:00:00,,,,,7.749,,,,,,,
174),02/01/2023,19:15:00,,,,,7.943,,,,,,,
175),02/01/2023,19:30:00,,,,,8.102,,,,,,,
176),02/01/2023,19:45:00,,,,,8.213,,,,,,,
177),02/01/2023,20:00:00,,,,,8.274,,,,,,,
178),02/01/2023,20:15:00,,,,,8.285,,,,,,,
179),02/01/2023,20:30:00,,,,,8.242,,,,,,,
180),02/01/2023,20:45:00,,,,,8.145,,,,,,,
181),02/01/2023,21:00:00,,,,,8.009,,,,,,,
182),02/01/2023,21:15:00,,,,,7.824,,,,,,,
183),02/01/2023,21:30:00,,,,,7.605,,,,,,,
184),02/01/2023,21:45:00,,,,,7.354,,,,,,,
185),02/01/2023,22:00:00,,,,,7.083,,,,,,,
186),02/01/2023,22:15:00,,,,,6.797,,,,,,,
187),02/01/2023,22:30:00,,,,,6.496,,,,,,,
188),02/01/2023,22:45:00,,,,,6.187,,,,,,,
189),02/01/2023,23:00:00,,,,,5.874,,,,,,,
190),02/01/2023,23:15:00,,,,,5.572,,,,,,,
191),02/01/2023,23:30:00,,,,,5.261,,,,,,,
192),02/01/2023,23:45:00,,,,,4.957,,,,,,,
193),03/01/2023,00:00:00,,,,,4.669,,,,,,,
194),03/01/2023,00:15:00,,,,,4.386,,,,,,,
195),03/01/2023,00:30:00,,,,,4.125,,,,,,,
196),03/01/2023,00:45:00,,,,,3.883,,,,,,,
197),03/01/2023,01:00:00,,,,,3.655,,,,,,,
198),03/01/2023,01:15:00,,,,,3.442,,,,,,,
199),03/01/2023,01:30:00,,,,,3.26,,,,,,,
200),03/01/2023,01:45:00,,,,,3.106,,,,,,,
201),03/01/2023,02:00:00,,,,,2.971,,,,,,,
202),03/01/2023,02:15:00,,,,,2.89,,,,,,,
203),03/01/2023,02:30:00,,,,,2.81,,,,,,,
204),03/01/2023,02:45:00,,,,,2.779,,,,,,,
205),03/01/2023,03:00:00,,,,,2.779,,,,,,,
